wmp;kalman_p;reserva_p;inventario;pnl;gamma;sigma;kappa_calibrada;Q;R;bid_capa_0;ask_capa_0
0.4849438215292333;0.48472505156636597;0.48472505156636597;0;0.000249549800618587;0.001;0.013303414755223788;50;0.00020439517909177606;1.5000000000000005e-06;0.4745921187478503;0.49485798438488166
0.49008229405461995;0.4901090255527851;0.4901090255527851;0;0.000249549800618587;0.001;0.014773081165286413;50;0.0002108362956233042;2.0000000000000008e-06;0.4799613962171336;0.5002566548884367
0.5000977213403432;0.5000852618825312;0.5000852618825312;0;0.000249549800618587;0.001;0.013697368732941539;50;0.0002061217637515091;2.0000000000000008e-06;0.48994838956363324;0.5102221342014293
0.4850838302750122;0.4852182402661219;0.4852182402661219;0;0.000249549800618587;0.001;0.013606746753577184;50;0.0002057245942133017;1.5000000000000005e-06;0.4750822741579555;0.49535420637428834
0.42485348304228937;0.42522715026452346;0.42522693724660676;1;-0.049605574092813465;0.0011051709180756478;0.014525918504800154;50;0.00020975305422407626;1.5000000000000005e-06;0.41508179018231217;0.43537208431090135
0.31465568750455797;0.31521210966095914;0.31521116235072133;2;-0.2594902952177308;0.00122140275816017;0.020740383346384915;50;0.00023698922969332865;1.5000000000000005e-06;0.3050038831887752;0.32541844151266747
0.32468127421550286;0.32453978135409295;0.32453743369968;2;-0.2408349518314632;0.00122140275816017;0.03286339215811357;50;0.0002901208192393939;1.5000000000000005e-06;0.31420892593030053;0.3348659414690595
0.30463463618898534;0.30464247389605553;0.3046386145757431;3;-0.29019601878178314;0.0013498588075760033;0.03295596174745894;50;0.00029052652458052896;1.5000000000000005e-06;0.2943091943902328;0.3149680347612534
0.3246945093659041;0.32451758728405283;0.32451527423329946;2;-0.24012023114059067;0.00122140275816017;0.0330896675507658;50;0.0002911125178740712;1.5000000000000005e-06;0.31418450373763035;0.33484604472896856
0.3393887290750845;0.33920780516262694;0.3392054868542044;2;-0.21073979538344245;0.00122140275816017;0.03336306252240134;50;0.00029231072779394235;1.9999999999999982e-06;0.32887198244221094;0.3495389912661978
0.3293956819233804;0.3293827237620158;0.32938055749219325;2;-0.23038995818466468;0.00122140275816017;0.032511503157487236;50;0.0002885785930282766;2.0000000000000008e-06;0.3190555685698409;0.3397055464145456
0.35473900178062046;0.3545646874403125;0.35456375334737456;1;-0.1948851718538383;0.0011051709180756478;0.03201141298952571;50;0.0002863868445974375;1.5000000000000005e-06;0.3442437532706494;0.36488375342409973
0.3747773763173991;0.3746435292456758;0.3746435292456758;0;-0.18456610587005107;0.001;0.03256078394759718;50;0.0002887945762675277;1.5000000000000005e-06;0.3643180246609485;0.3849690338304031
0.3647612868263615;0.36478016177321265;0.36478016177321265;0;-0.18456610587005107;0.001;0.033006882061307925;50;0.00029074969337113175;1.5000000000000005e-06;0.35445019625195745;0.37511012729446785
0.3293816432519083;0.329563917519166;0.3295629842461417;1;-0.20945238460284243;0.0011051709180756478;0.03275515664694231;50;0.00028964645476080867;2.0000000000000008e-06;0.3192355468150375;0.3398904216772459
0.3140203172684115;0.3140732711044904;0.3140723135270632;1;-0.22494303101751806;0.0011051709180756478;0.03348056024001089;50;0.0002928256858049099;2.500000000000001e-06;0.3037376221401966;0.3244070049139298
0.31465065568924866;0.3146051874509493;0.3146042439324099;1;-0.22441111467105918;0.0011051709180756478;0.03351697540507923;50;0.0002929852827856356;1.5000000000000005e-06;0.304269188397917;0.32493929946690275
0.3038809356808031;0.30389873852353827;0.3038978284971963;1;-0.2351175635984702;0.0011051709180756478;0.03317432398483549;50;0.0002914835421781262;2.500000000000001e-06;0.2935661994390376;0.31422945755535503
0.319249332031876;0.3191002030967296;0.31909932072616665;1;-0.21991609902527887;0.0011051709180756478;0.03292480868864325;50;0.0002903899898670923;2.0000000000000008e-06;0.3087701867933946;0.3294284546589387
0.3534658036725033;0.3530219974856395;0.3530219974856395;0;-0.20958784746306974;0.001;0.03321340197617487;50;0.00029165480954486444;3.4999999999999995e-06;0.34268996678588737;0.36335402818539164
0.3339719228572002;0.33409385074632897;0.33409385074632897;0;-0.20958784746306974;0.001;0.0327996450090678;50;0.0002898414341947707;2.4999999999999985e-06;0.32376595757487275;0.3444217439177852
