wmp;kalman_p;reserva_p;inventario;pnl;gamma;sigma;kappa_calibrada;Q;R;bid_optimo;ask_optimo
0.38369850676815115;0.38345076516494775;0.38345103286702065;-3;-0.11843546239329261;0.0013498588075760033;0.008824763137150943;50;1.2647428941145283e-06;1.5000000000000005e-06;0.37336292141030086;0.39353914432374043
0.3836396603507999;0.38380983694788423;0.38381012185714014;-3;-0.11951267774210206;0.0013498588075760033;0.00913239573387287;50;1.273971872016186e-06;1.5000000000000005e-06;0.37371893411597845;0.39390130959830183
0.37726028990655736;0.3773718644466905;0.37737208366853425;-3;-0.10019876023852081;0.0013498588075760033;0.008048110706532679;50;1.2414433211959803e-06;2.0000000000000008e-06;0.36729173863128545;0.38745242870578306
0.3836647692410456;0.3835212413686763;0.38352147346233034;-3;-0.11864689100447823;0.0013498588075760033;0.008313658273539143;50;1.2494097482061742e-06;1.5000000000000005e-06;0.373438472985256;0.3936044739394047
0.38365811873069794;0.38372189658288225;0.383722128694686;-3;-0.11924885664709617;0.0013498588075760033;0.008346477113176883;50;1.2503943133953066e-06;1.5000000000000005e-06;0.3736388000336453;0.39380545735572675
0.3836401511259646;0.38364546578790376;0.3836456943721074;-3;-0.11901956426216054;0.0013498588075760033;0.008327605097968777;50;1.2498281529390632e-06;1.5000000000000005e-06;0.3735625544286713;0.39372883431554345
0.38365974829647553;0.3836588683488932;0.3836589871030284;-3;-0.11905977194512873;0.0013498588075760033;0.006032561987541068;50;1.180976859626232e-06;1.5000000000000005e-06;0.3735987972809038;0.39371917692515307
0.39374061358588924;0.3936176779177171;0.39361779524761076;-3;-0.14893620065160063;0.0013498588075760033;0.006017107027241356;50;1.1805132108172407e-06;1.5000000000000005e-06;0.38355775997300295;0.40367783052221856
0.39739301775312186;0.3974878581321375;0.39748797640800815;-3;-0.1605467412948618;0.0013498588075760033;0.006062090293923756;50;1.1818627088177126e-06;1.9999999999999982e-06;0.38742749130680554;0.40754846150921076
0.38366712229866357;0.38388205140102943;0.38388216861034963;-3;-0.11972932110153756;0.0013498588075760033;0.006055134955458863;50;1.1816540486637657e-06;1.5000000000000005e-06;0.3738217530615928;0.39394258415910643
0.3973921311840403;0.3969658465507553;0.39696599774529784;-3;-0.15898070655071517;0.0013498588075760033;0.0069011720614672945;50;1.2070351618440188e-06;1.9999999999999982e-06;0.38689712193968195;0.4070348735509137
0.38366870113795076;0.3839692945309935;0.38396946707153295;-3;-0.11999105049142988;0.0013498588075760033;0.007396881833397537;50;1.221906455001926e-06;1.5000000000000005e-06;0.37389563423511035;0.39404329990795556
0.3874045214973495;0.3871631882136262;0.3871633933867913;-3;-0.12957273153932802;0.0013498588075760033;0.008094293656201217;50;1.2428288096860363e-06;2.0000000000000008e-06;0.37708258652627974;0.39724420024730284
0.3706296773365855;0.3709945765353016;0.37099477033109535;-3;-0.08106689650435417;0.0013498588075760033;0.007908756643056503;50;1.237262699291695e-06;2.500000000000001e-06;0.3609158188156708;0.3810737218465199
0.2766360933860768;0.2778235155689621;0.27782366077856746;-2;0.11535398314795564;0.00122140275816017;0.008845595831744671;50;1.2653678749523402e-06;1.9999999999999982e-06;0.26773532803895833;0.2879119935181766
0.3868676793185014;0.38391568386964947;0.383917270388006;-3;-0.1928340438048921;0.0013498588075760033;0.02278415135942123;50;1.6835245407826368e-06;2.0000000000000008e-06;0.37368956693335;0.394144973842662
0.3834779706997295;0.38432577154504677;0.3843291860410013;-3;-0.1940643068310839;0.0013498588075760033;0.033539119505536896;50;2.006173585166107e-06;1.5000000000000005e-06;0.37399393435662687;0.39466443772537574
0.38709314679355034;0.3871025481334532;0.3871059260188457;-3;-0.2023946365963032;0.0013498588075760033;0.03348174312083515;50;2.0044522936250545e-06;2.0000000000000008e-06;0.37677124809057344;0.39744060394711794
0.3936308146756339;0.39360347666041196;0.3936068183670309;-3;-0.22189742217717945;0.0013498588075760033;0.03341701120155658;50;2.002510336046697e-06;1.5000000000000005e-06;0.38327278774921364;0.4039408489848481
