wmp;kalman_p;reserva_p;inventario;pnl;gamma;sigma;Q;R;bid_capa_0;ask_capa_0;bid_capa_1;ask_capa_1;bid_capa_2;ask_capa_2
0.5350825993919643;0.535082638148373;0.535082638148373;0;0.0;0.3;0.003645747586473528;2.412024386645034e-06;5.055274725060806e-06;0.48563836119258036;0.5845269151041657;0.48263836119258036;0.5875269151041657;0.47963836119258035;0.5905269151041657
0.5350712641553621;0.5350753830622437;0.5350753830622437;0;0.0;0.3;0.003645795020538053;2.4120254905216815e-06;5.055274725060806e-06;0.4856311037696275;0.5845196623548599;0.4826311037696275;0.5875196623548599;0.4796311037696275;0.5905196623548599
0.540149093943627;0.5382714197200941;0.5382714197200941;0;0.0;0.3;0.003646287535976493;2.4120369522485344e-06;6.740366300081076e-06;0.48882711616386715;0.587715723276321;0.48582711616386715;0.590715723276321;0.48282711616386714;0.593715723276321
0.5401506382278177;0.5399042088640393;0.5399042088640393;0;0.0;0.3;0.003643464380586678;2.411971252306124e-06;6.740366300081076e-06;0.49046004438963214;0.5893483733384465;0.48746004438963214;0.5923483733384465;0.48446004438963214;0.5953483733384465
0.5452385682790007;0.5436559769256702;0.5436559769256702;0;0.0;0.3;0.00362065183406628;2.4114403630047297e-06;8.425457875101346e-06;0.49421293630384844;0.5930990175474921;0.49121293630384844;0.5960990175474921;0.48821293630384843;0.5990990175474921
0.520162803339691;0.5284679492354599;0.5284679492354599;0;0.0;0.3;0.003617509987602452;2.4113672465434533e-06;6.740366300081076e-06;0.47902506339566864;0.5779108350752512;0.47602506339566864;0.5809108350752512;0.47302506339566863;0.5839108350752512
0.5201653860365846;0.5217151003432496;0.5217151003432496;0;0.0;0.3;0.005276115470780451;2.449966002077642e-06;6.740366300081076e-06;0.47219050385100164;0.5712396968354976;0.46919050385100164;0.5742396968354976;0.46619050385100164;0.5772396968354976
0.5201174981600117;0.5190270603735844;0.5190270603735844;0;0.0;0.3;0.005566647913560571;2.4567272185618255e-06;6.740366300081076e-06;0.4694881508963016;0.5685659698508672;0.4664881508963016;0.5715659698508672;0.4634881508963016;0.5745659698508672
0.5201207561050883;0.5183618335554606;0.5183618335554606;0;0.0;0.3;0.0056211158729510295;2.4579947866907638e-06;6.740366300081076e-06;0.4688202407321109;0.5679034263788103;0.4658202407321109;0.5709034263788103;0.4628202407321109;0.5739034263788103
0.5301208368329409;0.5251272507350356;0.5251272507350356;0;0.0;0.3;0.005182899614724592;2.447796700169321e-06;6.740366300081076e-06;0.47560724649121255;0.5746472549788587;0.47260724649121255;0.5776472549788587;0.46960724649121255;0.5806472549788587
0.5352248871749102;0.5314585885640767;0.5314585885640767;0;0.0;0.3;0.00538711791554607;2.4525492301404096e-06;8.425457875101346e-06;0.48192852357297344;0.5809886535551799;0.47892852357297344;0.5839886535551799;0.47592852357297344;0.5869886535551799
0.5501505808841557;0.5449676481407195;0.5449676481407195;0;0.0;0.3;0.005537786065902567;2.4560555510596285e-06;6.740366300081076e-06;0.49543016053284883;0.5945051357485902;0.4924301605328488;0.5975051357485902;0.4894301605328488;0.6005051357485902
0.5601586260050714;0.5571537209134966;0.5571537209134966;0;0.0;0.3;0.005884572825977774;2.464125907458661e-06;6.740366300081057e-06;0.5075991489701908;0.6067082928568024;0.5045991489701908;0.6097082928568024;0.5015991489701908;0.6127082928568024
0.5701672544286596;0.5685782880187371;0.5685782880187371;0;0.0;0.3;0.0063789601693761385;2.4756311969326033e-06;6.740366300081057e-06;0.5189993602459075;0.6181572157915667;0.5159993602459075;0.6211572157915667;0.5129993602459075;0.6241572157915667
0.5850886213739547;0.5831117346913394;0.5831117346913394;0;0.0;0.3;0.006720848005041396;2.4835875464821487e-06;5.055274725060806e-06;0.5335159639269712;0.6327075054557075;0.5305159639269712;0.6357075054557075;0.5275159639269712;0.6387075054557075
0.6051150342498753;0.6018472831217739;0.6018472831217739;0;0.0;0.3;0.00722503056705956;2.495320788445543e-06;5.055274725060806e-06;0.5522266739696652;0.6514678922738827;0.5492266739696652;0.6544678922738827;0.5462266739696652;0.6574678922738827
0.6102283262447362;0.612279025549531;0.612279025549531;0;0.0;0.3;0.007900112954487136;2.511031179073111e-06;6.740366300081076e-06;0.562625158686111;0.661932892412951;0.559625158686111;0.664932892412951;0.556625158686111;0.667932892412951
0.5951041737087683;0.6034894868346115;0.6034894868346115;0;0.0;0.3;0.007998866899243593;2.51332936234234e-06;5.055274725060806e-06;0.5538307548906521;0.6531482187785708;0.5508307548906521;0.6561482187785708;0.5478307548906521;0.6591482187785708
0.5951106361753968;0.5991535375971919;0.5991535375971919;0;0.0;0.3;0.008461309316270916;2.5240912354848766e-06;5.055274725060806e-06;0.5494720235799776;0.6488350516144062;0.5464720235799776;0.6518350516144062;0.5434720235799776;0.6548350516144062
0.6002296160660482;0.6004313569066181;0.6004313569066181;0;0.0;0.3;0.008612477852081208;2.5276092012804695e-06;6.740366300081076e-06;0.5507423956213118;0.6501203181919244;0.5477423956213118;0.6531203181919244;0.5447423956213118;0.6561203181919244
0.5902012931414281;0.5942116043796547;0.5942116043796547;0;0.0;0.3;0.008590894145718479;2.527106909316608e-06;6.740366300081076e-06;0.5445237064085284;0.643899502350781;0.5415237064085284;0.646899502350781;0.5385237064085284;0.649899502350781
0.600232779699116;0.5977731840251668;0.5977731840251668;0;0.0;0.3;0.008830730832884477;2.5326883436902074e-06;6.740366300081076e-06;0.5480734705786968;0.6474728974716367;0.5450734705786968;0.6504728974716367;0.5420734705786968;0.6534728974716367
0.5902298759888259;0.5929282250012133;0.5929282250012133;0;0.0;0.3;0.008831290197362887;2.5327013611153727e-06;6.740366300081076e-06;0.5432284839978367;0.6426279660045899;0.5402284839978367;0.6456279660045899;0.5372284839978367;0.6486279660045899
